"leaf.type"	"time"	"plot"	"site"	"lfmc"
"113"	"M. spinosum"	36	2	"E"	115.9
"114"	"M. spinosum"	36	2	"E"	124.4
"115"	"M. spinosum"	36	2	"E"	130.7
"116"	"S. bracteolactus"	36	2	"E"	214.9
"117"	"S. bracteolactus"	36	2	"E"	159.2
"118"	"S. bracteolactus"	36	2	"E"	135.9
"119"	"Grass E"	36	2	"E"	32.1
"120"	"Grass E"	36	2	"E"	34
"121"	"Grass E"	36	2	"E"	39.2
"122"	"M. spinosum"	36	3	"E"	164.7
"123"	"M. spinosum"	36	3	"E"	142.9
"124"	"M. spinosum"	36	3	"E"	161.4
"125"	"S. bracteolactus"	36	3	"E"	152
"126"	"S. bracteolactus"	36	3	"E"	114.6
"127"	"S. bracteolactus"	36	3	"E"	183.8
"128"	"Grass E"	36	3	"E"	24.4
"129"	"Grass E"	36	3	"E"	28
"130"	"Grass E"	36	3	"E"	26.4
"131"	"Grass W"	36	4	"W"	48.1
"132"	"Grass W"	36	4	"W"	38.2
"133"	"Grass W"	36	4	"W"	37
"134"	"Grass W"	36	5	"W"	35.7
"135"	"Grass W"	36	5	"W"	46.5
"136"	"Grass W"	36	5	"W"	25.8
"137"	"Grass W"	36	6	"W"	33.6
"138"	"Grass W"	36	6	"W"	34.4
"139"	"Grass W"	36	6	"W"	46.5
"140"	"M. spinosum"	57	1	"E"	103.5
"141"	"M. spinosum"	57	1	"E"	115.2
"142"	"M. spinosum"	57	1	"E"	115.2
"143"	"S. bracteolactus"	57	1	"E"	76.7
"144"	"S. bracteolactus"	57	1	"E"	110.5
"145"	"S. bracteolactus"	57	1	"E"	148.5
"146"	"Grass E"	57	1	"E"	23
"147"	"Grass E"	57	1	"E"	23.3
"148"	"Grass E"	57	1	"E"	25.6
"149"	"M. spinosum"	57	2	"E"	96
"150"	"M. spinosum"	57	2	"E"	76.7
"151"	"M. spinosum"	57	2	"E"	101.2
"152"	"S. bracteolactus"	57	2	"E"	80.6
"153"	"S. bracteolactus"	57	2	"E"	83.7
"154"	"S. bracteolactus"	57	2	"E"	108
"155"	"Grass E"	57	2	"E"	20.4
"156"	"Grass E"	57	2	"E"	23.7
"157"	"Grass E"	57	2	"E"	21.7
"158"	"M. spinosum"	57	3	"E"	129.1
"159"	"M. spinosum"	57	3	"E"	119.9
"160"	"M. spinosum"	57	3	"E"	148.1
"161"	"S. bracteolactus"	57	3	"E"	110.6
"162"	"S. bracteolactus"	57	3	"E"	54.1
"163"	"S. bracteolactus"	57	3	"E"	95.1
"164"	"Grass E"	57	3	"E"	31.3
"165"	"Grass E"	57	3	"E"	22.5
"166"	"Grass E"	57	3	"E"	27.4
"167"	"Grass W"	57	4	"W"	35.4
"168"	"Grass W"	57	4	"W"	31.2
"169"	"Grass W"	57	4	"W"	37.9
"170"	"Grass W"	57	5	"W"	38.7
"171"	"Grass W"	57	5	"W"	43.1
"172"	"Grass W"	57	5	"W"	31
"173"	"Grass W"	57	6	"W"	32.4
"174"	"Grass W"	57	6	"W"	26.7
"175"	"Grass W"	57	6	"W"	45.2
"176"	"M. spinosum"	68	1	"E"	65.8
"177"	"M. spinosum"	68	1	"E"	86.9
"178"	"M. spinosum"	68	1	"E"	79.5
"179"	"S. bracteolactus"	68	1	"E"	70.3
"180"	"S. bracteolactus"	68	1	"E"	67.5
"181"	"S. bracteolactus"	68	1	"E"	87.6
"182"	"Grass E"	68	1	"E"	14
"183"	"Grass E"	68	1	"E"	24.3
"184"	"Grass E"	68	1	"E"	17.1
"185"	"M. spinosum"	68	2	"E"	62.2
"186"	"M. spinosum"	68	2	"E"	70.6
"187"	"M. spinosum"	68	2	"E"	76.6
"188"	"S. bracteolactus"	68	2	"E"	72.8
"189"	"S. bracteolactus"	68	2	"E"	85.2
"190"	"S. bracteolactus"	68	2	"E"	75.4
"191"	"Grass E"	68	2	"E"	15.4
"192"	"Grass E"	68	2	"E"	11.8
"193"	"Grass E"	68	2	"E"	15.3
"194"	"M. spinosum"	68	3	"E"	105.5
"195"	"M. spinosum"	68	3	"E"	61.2
"196"	"M. spinosum"	68	3	"E"	98.7
"197"	"S. bracteolactus"	68	3	"E"	62.3
"198"	"S. bracteolactus"	68	3	"E"	56.2
"199"	"S. bracteolactus"	68	3	"E"	79.6
"200"	"Grass E"	68	3	"E"	17.6
"201"	"Grass E"	68	3	"E"	17.1
"202"	"Grass E"	68	3	"E"	14.9
"203"	"Grass W"	68	4	"W"	29.4
"204"	"Grass W"	68	4	"W"	27
"205"	"Grass W"	68	4	"W"	26.3
"206"	"Grass W"	68	5	"W"	29.2
"207"	"Grass W"	68	5	"W"	46.7
"208"	"Grass W"	68	5	"W"	22.6
"209"	"Grass W"	68	6	"W"	41.8
"210"	"Grass W"	68	6	"W"	33.2
"211"	"Grass W"	68	6	"W"	23.4
"212"	"M. spinosum"	80	1	"E"	67
"213"	"M. spinosum"	80	1	"E"	70.5
"214"	"M. spinosum"	80	1	"E"	57.9
"215"	"S. bracteolactus"	80	1	"E"	70.6
"216"	"S. bracteolactus"	80	1	"E"	55.4
"217"	"S. bracteolactus"	80	1	"E"	86
"218"	"Grass E"	80	1	"E"	11.4
"219"	"Grass E"	80	1	"E"	16.2
"220"	"Grass E"	80	1	"E"	12.8
"221"	"M. spinosum"	80	2	"E"	38.1
"222"	"M. spinosum"	80	2	"E"	61.2
"223"	"M. spinosum"	80	2	"E"	53.2
"224"	"S. bracteolactus"	80	2	"E"	72.2
"225"	"S. bracteolactus"	80	2	"E"	64.2
"226"	"S. bracteolactus"	80	2	"E"	61.4
"227"	"Grass E"	80	2	"E"	13.9
"228"	"Grass E"	80	2	"E"	11.2
"229"	"Grass E"	80	2	"E"	13.3
"230"	"M. spinosum"	80	3	"E"	63.8
"231"	"M. spinosum"	80	3	"E"	77.1
"232"	"M. spinosum"	80	3	"E"	70.6
"233"	"S. bracteolactus"	80	3	"E"	76.2
"234"	"S. bracteolactus"	80	3	"E"	65
"235"	"S. bracteolactus"	80	3	"E"	60.6
"236"	"Grass E"	80	3	"E"	6.9
"237"	"Grass E"	80	3	"E"	8.5
"238"	"Grass E"	80	3	"E"	9.7
"239"	"Grass W"	80	4	"W"	34.9
"240"	"Grass W"	80	4	"W"	26.1
"241"	"Grass W"	80	4	"W"	30
"242"	"Grass W"	80	5	"W"	24.4
"243"	"Grass W"	80	5	"W"	22.5
"244"	"Grass W"	80	5	"W"	25.9
"245"	"Grass W"	80	6	"W"	27.7
"246"	"Grass W"	80	6	"W"	26.6
"247"	"Grass W"	80	6	"W"	26.6
